id,category,subcategory,jurusan,priority,source,chunk_type,content_preview,tags
18439a7a-4d4e-4d41-b3f5-0c82e979f470,majors,certification,RPL,high,both,actionable,"Sertifikasi RPL: AWS Certified Developer/Cloud Practitioner, Google Cloud Professional Developer, Microsoft Azure Developer, Oracle Certified Professional (Java), Meta Frontend Developer Certificate (...","sertifikasi, aws, google_cloud, docker, kubernetes, portofolio"
178932ae-c559-442d-9443-24a22b987ed2,majors,niche,RPL,medium,ai_research,actionable,"Niche karier spesial PPLG: AI/ML Engineer, Blockchain Developer, Game Developer (Unity/Unreal), Embedded Systems Developer (IoT), Cybersecurity Engineer, Site Reliability Engineer (SRE), Developer Adv...","niche, ai_ml, blockchain, game_dev, cybersecurity, sre"
8d35e676-541d-4844-a15a-059e9c8c433f,concerns,psychology,RPL,high,both,emotional,"Concern nyata siswa PPLG: (1) AI bakal ganti programmer? (2) Coding susah dan pusing, error terus. (3) Laptop kentang (RAM 4GB, HDD lambat). (4) Harus jago matematika? (5) Bahasa pemrograman mana yang...","anxiety, ai, laptop_kentang, matematika, imposter, interview"
d108376e-44b9-42f2-98db-4eaf7a224391,majors,curriculum,DKV,high,both,factual,"DKV (Desain Komunikasi Visual) mempersiapkan siswa menjadi desainer grafis, ilustrator, dan visual communicator. Mata pelajaran: Dasar Desain, Teori Warna dan Tipografi, Ilustrasi, Fotografi, Desain G...","dkv, desain, kurikulum, visual, branding"
e9b2daf6-c7ac-40bb-b929-0be41b4a0816,majors,tools,DKV,high,both,factual,"Tools industri DKV 2026: Adobe Creative Suite (Photoshop, Illustrator, InDesign, After Effects, Premiere Pro), Figma (UI/UX, prototyping), Canva Pro, Sketch, Blender/Cinema 4D (3D), Procreate (iPad), ...","adobe, figma, canva, midjourney, blender, after_effects, behance"
2aa8f0a6-25f4-4e9f-a73a-52f62227b3af,majors,ai_impact,DKV,high,both,trend,"AI Impact pada DKV: AI dapat menghasilkan gambar, logo, ilustrasi, dan video dalam hitungan detik. Tapi AI menghasilkan 'generic' design. Kreativitas orisinal, brand strategy, dan human touch tetap di...","ai, midjourney, creative_direction, brand_strategy, generic"
2873ae9e-fed1-469a-8e07-f976db70b3d0,majors,trends,DKV,high,both,trend,"Tren industri DKV 2025-2026: AI-Assisted Design, Motion Graphics & Animation dominance, 3D & Immersive Design (AR, metaverse), Sustainable Design, Inclusive Design, Variable Fonts & Typography, Maxima...","tren, 2026, motion_graphics, 3d, sustainable_design, generative"
82b93133-755e-4315-97a6-69e6bfd37e40,majors,career,DKV,high,both,actionable,"Peluang karier DKV: Entry (Junior Graphic Designer Rp 4-6 juta, Social Media Designer Rp 4-6 juta, UI/UX Junior Rp 5-8 juta, Motion Graphics Junior Rp 4-7 juta). Menengah (Senior Graphic Designer Rp 8...","gaji, karier, freelance, remote, ui_ux"
4172752e-c84f-4ed2-a66d-caba9e9ea13e,majors,certification,DKV,high,both,actionable,"Sertifikasi DKV: Adobe Certified Professional (Photoshop, Illustrator, InDesign), Figma Certification, Google UX Design Certificate (Coursera), Nielsen Norman Group UX Certification, Interaction Desig...","sertifikasi, adobe, figma, google_ux, portofolio"
5453b0c5-994c-43ff-8d3b-747a70987521,concerns,psychology,DKV,high,both,emotional,"Concern nyata siswa DKV: (1) AI bakal ganti desainer? Anxiety TERTINGGI. (2) Laptop kentang gimana? RAM 4GB, render 10 menit, crash. (3) DKV masih worth it 2026? (4) Harus beli Adobe? Biaya subscripti...","anxiety, ai, laptop_kentang, adobe, portofolio, revisi"
bb30a17b-358e-4d7b-b169-35f0275e44cd,majors,solutions,DKV,high,both,actionable,"Solusi laptop kentang untuk DKV: Gunakan Canva (cloud-based, tidak butuh GPU), Figma (web-based, ringan), GIMP (gratis, alternatif Photoshop), Krita (digital art gratis), Photopea (browser-based Photo...","laptop_kentang, canva, figma, gimp, alternatif, cloud"
00c05229-8783-4d3e-8600-70b5f13919ea,majors,curriculum,Broadcasting,high,both,factual,"Broadcasting mempersiapkan siswa untuk produksi konten audio-visual, penyiaran, dan media digital. Mata pelajaran: Dasar Broadcasting, Teknik Penyiaran, Produksi Radio, Produksi Televisi, Videografi &...","broadcasting, video, content_creation, podcast, live_streaming"
5aa68132-0ab7-4026-81e3-4f0c42634140,majors,tools,Broadcasting,high,both,factual,"Tools industri Broadcasting 2026: Video Editing (Adobe Premiere Pro, DaVinci Resolve, Final Cut Pro, CapCut), Motion Graphics (After Effects, Motion), Audio (Audition, Audacity, GarageBand), Live Stre...","premiere, davinci, obs, capcut, descript, elevenlabs, tubebuddy"
a22397d6-c24a-4be3-b9a2-35eb22611751,majors,ai_impact,Broadcasting,high,both,trend,"AI Impact pada Broadcasting: AI dapat generate video dari teks (Runway, Pika), clone voice (ElevenLabs), auto-edit (Descript), generate script dan music. Tapi AI belum bisa menggantikan storytelling h...","ai, runway, elevenlabs, storytelling, creative_direction"
776c5d90-3f08-4477-8955-6f5d31e11d62,majors,trends,Broadcasting,high,both,trend,"Tren Broadcasting 2025-2026: Short-Form Video Dominance (TikTok, Reels, Shorts), Live Streaming Commerce, Podcast Renaissance, AI-Generated Content, Virtual Production (LED volume studio), Vertical Vi...","tren, 2026, short_form, creator_economy, live_commerce, podcast"
f2fd1d31-a52c-47a3-9785-23ed36a9c059,majors,career,Broadcasting,high,both,actionable,"Peluang karier Broadcasting: Entry (Video Editor Rp 4-6 juta, Content Creator Rp 3.5-6 juta, Production Assistant Rp 3-5 juta, Social Media Video Specialist Rp 4-6 juta). Menengah (Senior Video Editor...","gaji, karier, freelance, youtube, content_creator"
b4eeb38e-d4e9-49f0-9438-1feed96dead2,concerns,psychology,Broadcasting,high,both,emotional,"Concern nyata siswa Broadcasting: (1) Harus punya kamera mahal? DSLR 10 juta. (2) AI bisa buat video, videographer masih dibutuhkan? (3) Sukses broadcasting = jadi seleb? (4) Gimana caranya dapat subs...","anxiety, kamera_mahal, ai, subscriber, editing, copyright"
7a039f1d-516c-49f0-b908-c18666580257,majors,solutions,Broadcasting,high,both,actionable,"Solusi kamera mahal untuk Broadcasting: Smartphone modern (iPhone, Samsung flagship) sudah cukup untuk konten quality. Invest in skill dulu, gear kemudian. Aksesoris murah: tripod Rp 50rb, ring light ...","kamera_mahal, smartphone, capcut, ring_light, budget"
b1cc7416-d4de-4cac-bc2d-aac08d7f7651,majors,curriculum,Pemasaran,high,both,factual,"Pemasaran mempersiapkan siswa untuk riset pasar, perencanaan pemasaran, penjualan, promosi, dan distribusi. Fokus pada digital marketing, social media marketing, dan e-commerce. Mata pelajaran: Dasar ...","pemasaran, digital_marketing, ecommerce, seo, social_media"
8457fdb0-7f84-44b9-b3da-dce46a83da70,majors,tools,Pemasaran,high,both,factual,"Tools industri Pemasaran 2026: Analytics (Google Analytics 4, Google Tag Manager), Ads (Meta Business Suite, TikTok Ads Manager, Google Ads), E-Commerce (Shopify, WooCommerce, Tokopedia, Shopee, TikTo...","ga4, meta_ads, tiktok_shop, hubspot, semrush, chatgpt"
6fdba66f-fcf1-4920-b28d-073cf8462db0,majors,ai_impact,Pemasaran,high,both,trend,"AI Impact pada Pemasaran: AI adalah TOOL untuk marketer, bukan pengganti. AI membantu copywriting, content generation, personalisasi campaign, predictive analytics, chatbot 24/7, A/B testing otomatis,...","ai, personalization, short_form, social_commerce, influencer, privacy"
71c85afe-5f38-4364-b3e2-f7fd60561547,majors,career,Pemasaran,high,both,actionable,"Peluang karier Pemasaran: Entry (Digital Marketing Specialist Rp 4-6 juta, Social Media Manager Rp 3.5-5 juta, Content Creator Rp 3.5-6 juta, SEO/SEM Specialist Rp 4-6 juta). Menengah (Digital Marketi...","gaji, karier, freelance, remote, affiliate, content_creator"
2070f99c-5ee4-4fb6-a64a-d932bf924d07,concerns,psychology,Pemasaran,high,both,emotional,"Concern nyata siswa Pemasaran: (1) Jurusan pemasaran terlalu umum? Semua orang bisa marketing tanpa sekolah. (2) Content creator harus extrovert? Aku introvert. (3) Algoritma sosmed selalu berubah, ta...","anxiety, introvert, algoritma, budget, ai_etika, tiktok_shop"
7862da07-656d-41b2-a910-2e0b4c936cab,majors,solutions,Pemasaran,high,both,actionable,"Solusi introvert di Pemasaran: Spesialisasi paling bernilai di era modern justru diisi introvert: Spesialis Pemasaran Automation, Manajemen Siklus CRM, Data Analyst Marketing — fokus ke dasbor kompute...","introvert, automation, crm, copywriting, seo, remote"
840da1cc-182b-4fcd-b187-251345c35b63,majors,curriculum,AKL,high,both,factual,"AKL (Akuntansi dan Keuangan Lembaga) mempersiapkan siswa menjadi tenaga akuntansi junior. Mata pelajaran: Akuntansi Dasar, Akuntansi Keuangan, Akuntansi Manajemen, Perpajakan (PPh, PPN, PBB), Ekonomi ...","akl, akuntansi, pajak, myob, accurate, keuangan"
3e95b746-64d1-4dcb-8040-7527f04d0439,majors,tools,AKL,high,both,factual,"Tools industri AKL 2026: Cloud Accounting (Accurate Online, QuickBooks Online, Xero, Jurnal.id, Kledo), Desktop (MYOB, Zahir, QuickBooks Desktop), Tax (e-Filing DJP Online, e-SPT, e-Faktur), Spreadshe...","accurate, quickbooks, xero, excel, e_filing, python, ocr"
21b0947c-e54b-4f38-ae03-98cb25d6c692,majors,ai_impact,AKL,high,both,trend,"AI Impact pada AKL: AI mengotomatisasi pencatatan transaksi dasar, rekonsiliasi bank, dan laporan keuangan sederhana. Tapi AI butuh human untuk interpretasi data, advisory keuangan, deteksi fraud, pre...","ai, cloud_accounting, advisory, esg, blockchain, real_time"
81fe0224-90e2-41df-ab32-8bdda6758d9d,majors,career,AKL,high,both,actionable,"Peluang karier AKL: Entry (Staff Akuntansi Rp 3.5-5 juta, Junior Auditor KAP Rp 4-6 juta, Tax Staff Rp 4-6 juta, Bookkeeper Rp 3-4.5 juta). Menengah (Senior Accountant Rp 7-12 juta, Tax Consultant Rp ...","gaji, karier, freelance, remote, auditor, tax"
d36790db-2e0d-4e72-884c-fc26295f26e4,majors,certification,AKL,high,both,actionable,"Sertifikasi AKL: Brevet Pajak A & B (wajib untuk tax consultant), Certified Public Accountant (CPA), Certified Management Accountant (CMA), QuickBooks Certified ProAdvisor, Xero Certified Advisor, SAP...","sertifikasi, brevet_pajak, cpa, quickbooks, excel, portofolio"
63d0454c-720b-4a2e-96d5-06e67fefd248,concerns,psychology,AKL,high,both,emotional,Concern nyata siswa AKL: (1) AI bakal ganti akuntan manual? (2) Brevet pajak susah gak? (3) Kerja akuntansi boring gak? Ngitung doang? (4) Gaji akuntan kecil? Rp 3-5 juta. (5) Harus kuliah buat naik j...,"anxiety, ai, brevet, matematika, gaji, pkl"
bb1de693-689f-40e1-b6bb-756210e07bae,majors,curriculum,MPLB,high,both,factual,"MPLB (Manajemen Perkantoran dan Layanan Bisnis, dulu OTKP) mempersiapkan siswa menjadi tenaga administrasi profesional. Mata pelajaran: Administrasi Umum, Korespondensi Bahasa Indonesia & Inggris, Tek...","mplb, otkp, administrasi, perkantoran, korespondensi"
a3ede83e-f29b-42df-b3b6-9fe509f08303,majors,tools,MPLB,high,both,factual,"Tools industri MPLB 2026: Microsoft Office 365 (Word, Excel, PowerPoint, Outlook, Teams), Google Workspace (Docs, Sheets, Slides, Calendar, Meet), Project Management (Notion AI, ClickUp, Trello, Asana...","office365, google_workspace, notion, zapier, copilot, canva"
46169ff3-ca20-4e52-8f4f-7f6420c07e8c,majors,ai_impact,MPLB,high,both,trend,"AI Impact pada MPLB: AI mengotomatisasi pengetikan, penyusunan surat, scheduling, dan data entry. Tapi AI butuh human untuk manajemen alur kerja asinkron, administrasi pangkalan data, dan koordinasi p...","ai, automation, workflow, remote, hybrid, paperless"
bf0fb515-0dfb-4e92-877d-7eeaa9f32120,majors,career,MPLB,high,both,actionable,"Peluang karier MPLB: Entry (Administrative Assistant Rp 3-4.5 juta, Receptionist Rp 3-4 juta, Data Entry Rp 3-4.5 juta, Customer Service Rp 3-4.5 juta). Menengah (Office Manager Rp 6-10 juta, Executiv...","gaji, karier, freelance, remote, virtual_assistant, executive_assistant"
c7d2adb0-7fec-445e-a381-df57e82d101e,concerns,psychology,MPLB,high,both,emotional,Concern nyata siswa MPLB: (1) AI bisa ganti admin kantor? ChatGPT + Zapier. (2) Cuma jadi sekretaris doang? Stigma. (3) Gaji kecil dan gak naik-naik? Stagnan. (4) Harus jago bahasa Inggris? (5) Digita...,"anxiety, ai, sekretaris, gaji, inggris, pkl, va"
94b3822f-65b6-4c9d-bd0f-2a26aeeb4a3a,majors,curriculum,ULP,high,both,factual,"ULP (Usaha Layanan Pariwisata) mempersiapkan siswa untuk industri hospitality. Mata pelajaran: Dasar Pariwisata, Kepariwisataan Indonesia, Pengetahuan Hotel, Pengetahuan Restoran/F&B, Travel Agency Op...","ulp, pariwisata, hotel, restoran, tour_guide, event"
12add7d2-651f-4e25-9ae5-e5e1533133ba,majors,tools,ULP,high,both,factual,"Tools industri ULP 2026: Hotel PMS (Opera, Cloudbeds, Mews), OTA (Booking.com, Agoda, Traveloka, Tiket.com), Channel Manager (SiteMinder, Cloudbeds), Restaurant POS (Toast, Square, Moka POS, Pawoon), ...","pms, booking_com, traveloka, eventbrite, tripadvisor, ai_chatbot"
b5cedfd5-7a71-4a6b-a94e-07d9c715f4e5,majors,ai_impact,ULP,high,both,trend,"AI Impact pada ULP: AI membantu personalisasi itinerary, chatbot reservasi 24/7, revenue management dan dynamic pricing, sentiment analysis dari review, virtual tour dan augmented reality, translation...","ai, chatbot, personalization, virtual_tour, wellness, culinary"
cc3d71e7-2b6c-4dbb-a8a2-58d1a6ad90f7,majors,career,ULP,high,both,actionable,"Peluang karier ULP: Entry (Front Office Rp 3-4.5 juta + service charge, F&B Service Rp 3-4 juta + tips, Reservation Agent Rp 3-4.5 juta, Travel Consultant Rp 3-5 juta + komisi). Menengah (Front Office...","gaji, karier, freelance, hotel, tour_guide, event"
86d5b86a-0c1d-4ccf-bbbb-69e5bf4a7523,concerns,psychology,ULP,high,both,emotional,"Concern nyata siswa ULP: (1) Pariwisata gak stabil? Seasonality dan pandemi trauma. (2) Harus jago bahasa asing? Inggris, Mandarin, Jepang. (3) Kerja di hotel shift? Lembur terus? (4) Gaji hospitality...","anxiety, stabil, bahasa, shift, gaji, pkl, public_speaking"
ceeab012-7738-41b0-a1bc-60dcbbcb6345,pkl,placement,General,high,both,actionable,"Tempat PKL rekomendasi di Surakarta dan sekitar: AKL — KAP Solo, Kantor Pajak Pratama, Bank BPD/BRI/BNI/Mandiri, Fintech, UMKM omset tinggi, Koperasi. MPLB — Perusahaan multinasional, Hotel berbintang...","pkl, surakarta, solo, klaten, hotel, bank, software_house"
572fc12a-936c-4e79-aa51-61b0ebf583f4,pkl,psychology,General,high,pdf,emotional,"3 Fase Psikologis PKL berdasarkan data empiris podcast siswa SMKN 6: Fase 1 — Disorientasi dan Krisis Kinerja (Bulan 1-2): Ketakutan inkompetensi, kecemasan merespons feedback klien, rasa lambat diban...","pkl, fase, psikologi, disorientasi, asimilasi, kematangan, resilience"
7783893c-3048-4a00-be14-aae1484f5b19,pkl,problems,General,high,both,emotional,Masalah umum siswa saat PKL: (1) Cuma disuruh ngopi dan fotocopy — PKL tidak meaningful. Solusi: proaktif minta project. (2) Gak dibayar — fokus learning experience. (3) Perbandingan dengan teman PKL ...,"pkl, masalah, fotocopy, mentor, bully, transportasi"
90dbd80c-1ab4-4883-a330-170cd432086f,pkl,tips,General,high,both,actionable,"Tips kesiapan PKL: (1) Research perusahaan sebelum PKL. (2) Update skill — pelajari tools perusahaan. (3) Siapkan portofolio untuk jurusan kreatif. (4) Latihan soft skills — komunikasi, teamwork, prob...","pkl, tips, kesiapan, soft_skills, portofolio, networking"
ff13dcbb-d3e1-45da-bbba-3fb52efcf405,pkl,anxiety,General,high,both,emotional,"Anxiety PKL spesifik per jurusan: AKL — Takut salah hitung dan rugiin perusahaan, takut lihat data sensitif, bingung software berbeda dari sekolah. MPLB — Takut salah atur jadwal bos, takut telepon cl...","pkl, anxiety, akl, mplb, dkv, rpl, broadcasting, ulp"
b38f8758-ed5e-4998-b8c5-ed6c0a3509bc,prompts,personality,General,high,pdf,factual,AI Personality untuk SMKN 6 Surakarta: Persona 'Kakak Tingkat Kelas Atas atau Mentor Alumni yang Sukses'. Bukan entitas otoritas guru kaku atau agen birokrasi. Tone: Bahasa Indonesia gaul yang profesi...,"persona, tone, bahasa, surakarta, logat, kakak_tingkat"
67b97b7e-e0d4-4285-99e6-90a84bd9dc19,prompts,ethics,General,high,pdf,emotional,Trauma-Informed & Resource-Conscious Approach: AI berfungsi dalam populasi ekonomi sensitif (tinggi pendaftar PIP). Dilarang mutlak Toxic Positivity: 'Kamu pasti bisa! Bekerja keraslah tanpa henti!' a...,"trauma_informed, resource_conscious, toxic_positivity, pip, finansial"
8a90e06b-502d-4f59-bc96-258f87bb3675,prompts,methodology,General,high,pdf,actionable,"Socratic Questioning Protocol: AI tidak memuntahkan jawaban final, melainkan mengkalibrasi struktur rasionalitas siswa. Contoh: Saat user kegundahan tes wawancara, alih-alih 10 tips baku, AI beri konf...","socratic, questioning, emosi, iteratif, personalitas"
4d66efe0-b1e8-41b0-98f2-886be89318cf,prompts,safety,General,high,pdf,factual,Red-Line Parameters (Pelanggaran Fatal yang Dilarang AI): (1) Dilarang mendegradasi pekerjaan operasional/blue-collar di tingkat regional seperti pelayan toko optik lokal demi membanggakan posisi digi...,"red_line, etika, blue_collar, gender, pkl, jaminan"
068a6b40-b76e-4cf9-b515-0634e9bc6c8c,prompts,strategy,General,high,both,actionable,Conversational Strategy AI: Greeting → Understanding → Empathy → Information → Action → Follow-up. Deteksi emosi: Anxiety → Reassurance + Facts + Action plan. Excitement → Encouragement + Realistic ne...,"conversation, emosi, anxiety, frustration, confusion, contextual"
9c47eae1-7c7d-467f-8f62-5ce7510fdabe,industry,macro,General,medium,ai_research,trend,"Tren makro industri 2025-2026: (1) AI Integration — AI sebagai co-pilot bukan replacement, prompt engineering skill baru. (2) Remote & Hybrid Work — model kerja hybrid standar, digital nomad meningkat...","tren, 2026, ai, remote, gig_economy, sustainability, cybersecurity"
ef38e050-3bad-43d8-80fd-1cc077f91bd7,industry,creator_economy,General,medium,both,trend,Creator Economy terinstitusionalisasi: Sektor pembuatan konten video format pendek bukan lagi pekerjaan sampingan. Profesi penuh waktu dengan struktur insentif mapan. Perusahaan lokal merekrut talenta...,"creator_economy, tiktok, reels, viral, revenue, influencer"
22672b0c-593e-45cd-b556-8affd0d8146b,industry,automation,General,medium,both,trend,"Otomatisasi Penjualan dan AI Automation Stack: Industri membutuhkan talenta yang mampu menautkan perangkat — menghubungkan data pelanggan dari Instagram ke CRM HubSpot, lalu mengirim pesan WhatsApp be...","automation, crm, hubspot, zapier, whatsapp, leads"
b9850b36-9ed7-4cac-a050-814f4afb2e70,industry,education_corporate,General,medium,pdf,trend,Simbiosis Pendidikan-Korporat: Tren di mana portal kerja daring turun tangan ke tingkat sekolah untuk melatih calon pekerjanya. Contoh: kolaborasi Toploker.com dan SMKN 6 Surakarta untuk mengembangkan...,"toploker, kolaborasi, vokasi, talenta, kultur_kerja"
214186ec-7238-4d99-94e2-0a82d640af9b,industry,compensation,General,medium,pdf,trend,"Kompensasi Holistik 2026: Kompensasi jabatan administratif/manajerial pemula tidak lagi sekadar gaji pokok. Tren menunjuk paket insentif berbasis retensi mental: penyediaan program umrah, integrasi ak...","kompensasi, holistic, wellbeing, umrah, sehat, retensi"
9221c570-7e20-431e-a1f4-1b0ab5d73281,alumni,pathfinding,General,medium,pdf,actionable,"Ekosistem alumni SMKN 6: Alumni tidak boleh diperlakukan sebagai statistik formalitas, melainkan sebagai algoritma pemecahan jalan (pathfinding algorithm). Jika target 80% lulusan terserap industri di...","alumni, pathfinding, lks, pkl, intervensi, strategi"
3fd2e95a-7fba-447f-b0c3-fad663821e9a,alumni,stories,General,medium,ai_research,actionable,"Template cerita sukses alumni: (1) Corporate Climber — Alumni RPL angkatan 2018, junior developer software house Solo Rp 4 juta, sekarang remote backend engineer startup Singapore $3000/bulan. (2) Cre...","alumni, sukses, template, rpl, dkv, ulp, broadcasting, akl"
16fc130c-d5b0-4f2b-960b-0c789a2f4515,faq,technology_crisis,RPL,high,pdf,emotional,"FAQ Krisis Validasi Teknologi: 'AI kan udah jago bikin codingan, buat apa aku belajar capek-capek teori syntax di RPL?' Respon: Industri memang tak butuh penghafal sintaks lagi, tapi sangat mencari sp...","faq, ai, coding, syntax, reviewer_kode, keamanan"
6575f206-e5d2-4a4c-9c5e-2f14c94eccd5,faq,hardware,DKV,high,pdf,emotional,"FAQ Inferioritas Hardware: 'Jurusan DKV sama PPLG tugasku numpuk harus ngerender video dan 3D, tapi laptop di rumah bener-bener spek kentang. Aku merasa salah jurusan, pindah aja?' Respon: Aktivasi de...","faq, laptop_kentang, cloud, tefa, lab, open_source"
fc4ac434-a47e-4096-b62d-adfeffbc2c65,faq,pkl_conflict,MPLB,high,pdf,emotional,"FAQ Ketakutan Relasi Sosial PKL: 'Gimana caranya bertahan di tempat magang yang isinya senior galak semua? Tugasku tiap hari cuma disuruh beli kopi sama fotokopi, gak diajarin skill sesuai jurusan MPL...","faq, pkl, senior, fotocopy, konflik, negosiasi, budaya_jawa"
86c4a359-09ae-4ea3-ba9f-9fa637fb4e86,faq,personality,Pemasaran,high,pdf,emotional,"FAQ Keraguan Penetrasi Sektoral Berbasis Personalitas: 'Anak introvert yang susah bergaul kayak aku cocok gak sih masuk jurusan Pemasaran, atau nanti susah cari kerjanya?' Respon: Dekonstruksi mitos p...","faq, introvert, pemasaran, automation, crm, analisis_data"
571e50cd-daf0-42e4-9bd7-def9bc829ea0,faq,general,General,high,both,factual,"FAQ Umum SMK: 'SMK vs SMA mana lebih baik?' Tergantung goal. SMK untuk karier teknis langsung, SMA untuk jalur akademik. 'Lulus SMK bisa kuliah gak?' Bisa, melalui SNBP, SNBT, atau mandiri. 'SMK harus...","faq, smk, sma, kuliah, gaji, pkl, sertifikasi, portofolio"
267f32e4-a9f5-40d2-adcc-12bab6f90b00,faq,ai_technology,General,high,both,factual,"FAQ AI dan Teknologi: 'AI bakal ganti kerjaan aku?' AI menggantikan task, bukan role. Role yang evolve dengan AI akan survive. 'Harus belajar AI?' Minimal menguasai AI tools untuk jurusanmu. 'Prompt e...","faq, ai, prompt_engineering, low_code, ethics, privacy"
b242ea68-0c45-4a9b-84a1-9dc97bb6c99e,faq,mental_health,General,high,both,emotional,"FAQ Kesehatan Mental: 'Anxiety karier itu normal?' Sangat normal, terutama Gen Z. Jangan dismiss perasaanmu. 'Gimana caranya handle pressure?' Break down task, prioritization, mindfulness, exercise, s...","faq, mental_health, anxiety, pressure, gagal, confident, depresi"
38afda57-737c-471a-84aa-0ae7e0b3d713,behavior,gen_z,General,medium,both,emotional,"Pola perilaku siswa SMK modern (Gen Z digital natives): Attention span pendek (8 detik untuk konten, 15 menit untuk belajar intensif). Visual learners — lebih suka video dan infografis daripada teks p...","gen_z, attention_span, visual, multitasking, anxiety, entrepreneurial"
eea6c398-64a6-43ef-8558-36f8403413c6,behavior,psychology,General,medium,both,emotional,"6 Pola Psikologis Siswa SMK: (1) Imposter Syndrome — 'Aku tidak sejago yang orang pikir'. Common di RPL dan DKV. Trigger: melihat project orang lain di sosial media. Coping: 'I'm learning, not failing...","imposter, analysis_paralysis, comparison, fear, burnout, hardware"
7dac4df2-7984-48cd-acef-510d0874f623,careers,niche,General,medium,ai_research,actionable,"Niche karier spesial per jurusan: AKL — E-commerce Accountant (bisnis online Tokopedia/Shopee/TikTok Shop), Fintech Accountant, Startup Financial Analyst, Sustainability Accountant (ESG/carbon account...","niche, akl, mplb, pemasaran, ecommerce, fintech, ugc"
04339526-e776-4e2c-9ff2-93d379fbf8ba,careers,niche,General,medium,ai_research,actionable,"Niche karier spesial per jurusan (lanjutan): ULP — Heritage Tour Guide (Keraton Solo, Candi), Adventure Tour Guide, Wedding Destination Specialist, MICE Specialist (Meetings, Incentives, Conferences, ...","niche, ulp, dkv, broadcasting, heritage, motion, podcast, drone"
